timestamp,value
2024-07-28 17:29:36,143
2024-07-28 17:30:36,150
2024-07-28 17:31:36,7
2024-07-28 17:32:36,167
2024-07-28 17:33:36,176
2024-07-28 17:34:36,8
2024-07-28 17:35:36,190
2024-07-28 17:36:36,200
2024-07-28 17:37:36,10
2024-07-28 17:38:36,215
2024-07-28 17:39:36,225
2024-07-28 17:40:36,12
2024-07-28 17:41:36,238
2024-07-28 17:42:36,250
2024-07-28 17:43:36,12
2024-07-28 17:44:36,262
2024-07-28 17:45:36,275
2024-07-28 17:46:36,14
2024-07-28 17:47:36,285
2024-07-28 17:48:36,300
2024-07-28 17:49:36,15
2024-07-28 17:50:36,310
2024-07-28 17:51:36,326
2024-07-28 17:52:36,17
2024-07-28 17:53:36,334
2024-07-28 17:54:36,351
2024-07-28 17:55:36,17
2024-07-28 17:56:36,357
2024-07-28 17:57:36,375
2024-07-28 17:58:36,18
2024-07-28 17:59:36,380
2024-07-28 18:00:36,400
2024-07-28 18:01:36,20
2024-07-28 18:02:36,405
2024-07-28 18:03:36,425
2024-07-28 18:04:36,22
2024-07-28 18:05:36,429
2024-07-28 18:06:36,451
2024-07-28 18:07:36,23
2024-07-28 18:08:36,453
2024-07-28 18:09:36,476
2024-07-28 18:10:36,24
2024-07-28 18:11:36,475
2024-07-28 18:12:36,500
2024-07-28 18:13:36,25
