timestamp,value
2024-07-28 19:12:36,146
2024-07-28 19:13:36,150
2024-07-28 19:14:36,5
2024-07-28 19:15:36,170
2024-07-28 19:16:36,176
2024-07-28 19:17:36,5
2024-07-28 19:18:36,194
2024-07-28 19:19:36,200
2024-07-28 19:20:36,6
2024-07-28 19:21:36,219
2024-07-28 19:22:36,225
2024-07-28 19:23:36,8
2024-07-28 19:24:36,242
2024-07-28 19:25:36,250
2024-07-28 19:26:36,8
2024-07-28 19:27:36,267
2024-07-28 19:28:36,275
2024-07-28 19:29:36,9
2024-07-28 19:30:36,291
2024-07-28 19:31:36,300
2024-07-28 19:32:36,9
2024-07-28 19:33:36,316
2024-07-28 19:34:36,326
2024-07-28 19:35:36,11
2024-07-28 19:36:36,340
2024-07-28 19:37:36,351
2024-07-28 19:38:36,11
2024-07-28 19:39:36,363
2024-07-28 19:40:36,375
2024-07-28 19:41:36,12
2024-07-28 19:42:36,387
2024-07-28 19:43:36,400
2024-07-28 19:44:36,13
2024-07-28 19:45:36,412
2024-07-28 19:46:36,426
2024-07-28 19:47:36,14
2024-07-28 19:48:36,437
2024-07-28 19:49:36,451
2024-07-28 19:50:36,15
2024-07-28 19:51:36,461
2024-07-28 19:52:36,476
2024-07-28 19:53:36,16
2024-07-28 19:54:36,484
2024-07-28 19:55:36,500
2024-07-28 19:56:36,16
