timestamp,value
2024-07-28 16:00:40,100
2024-07-28 16:01:40,150
2024-07-28 16:02:40,51
2024-07-28 16:03:40,117
2024-07-28 16:04:40,175
2024-07-28 16:05:40,59
2024-07-28 16:06:40,133
2024-07-28 16:07:40,200
2024-07-28 16:08:40,67
2024-07-28 16:09:40,150
2024-07-28 16:10:40,226
2024-07-28 16:11:40,76
2024-07-28 16:12:40,166
2024-07-28 16:13:40,250
2024-07-28 16:14:40,84
2024-07-28 16:15:40,183
2024-07-28 16:16:40,261
2024-07-28 16:17:40,107
2024-07-28 16:18:40,146
2024-07-28 16:19:40,226
2024-07-28 16:20:40,197
2024-07-28 16:21:40,187
2024-07-28 16:22:40,217
2024-07-28 16:23:40,210
2024-07-28 16:24:40,208
2024-07-28 16:25:40,202
2024-07-28 16:26:40,202
2024-07-28 16:27:40,211
2024-07-28 16:28:40,216
2024-07-28 16:29:40,216
2024-07-28 16:30:40,202
2024-07-28 16:31:40,185
2024-07-28 16:32:40,178
2024-07-28 16:33:40,186
2024-07-28 16:34:40,185
2024-07-28 16:35:40,176
2024-07-28 16:36:40,166
2024-07-28 16:37:40,165
2024-07-28 16:38:40,162
2024-07-28 16:39:40,174
2024-07-28 16:40:40,182
2024-07-28 16:41:40,173
2024-07-28 16:42:40,173
2024-07-28 16:43:40,171
2024-07-28 16:44:40,60
