timestamp,value
2024-07-28 21:05:15,88
2024-07-28 21:06:15,150
2024-07-28 21:07:15,62
2024-07-28 21:08:15,103
2024-07-28 21:09:15,175
2024-07-28 21:10:15,73
2024-07-28 21:11:15,117
2024-07-28 21:12:15,200
2024-07-28 21:13:15,83
2024-07-28 21:14:15,132
2024-07-28 21:15:15,226
2024-07-28 21:16:15,94
2024-07-28 21:17:15,147
2024-07-28 21:18:15,250
2024-07-28 21:19:15,103
2024-07-28 21:20:15,161
2024-07-28 21:21:15,276
2024-07-28 21:22:15,114
2024-07-28 21:23:15,176
2024-07-28 21:24:15,300
2024-07-28 21:25:15,124
2024-07-28 21:26:15,191
2024-07-28 21:27:15,326
2024-07-28 21:28:15,136
2024-07-28 21:29:15,206
2024-07-28 21:30:15,350
2024-07-28 21:31:15,146
2024-07-28 21:32:15,220
2024-07-28 21:33:15,375
2024-07-28 21:34:15,155
2024-07-28 21:35:15,234
2024-07-28 21:36:15,400
2024-07-28 21:37:15,166
2024-07-28 21:38:15,249
2024-07-28 21:39:15,426
2024-07-28 21:40:15,177
2024-07-28 21:41:15,264
2024-07-28 21:42:15,451
2024-07-28 21:43:15,188
2024-07-28 21:44:15,279
2024-07-28 21:45:15,476
2024-07-28 21:46:15,198
2024-07-28 21:47:15,293
2024-07-28 21:48:15,500
2024-07-28 21:49:15,207
